total,states,abrev
4903185,Alabama,AL
731545,Alaska,AK
7278717,Arizona,AZ
3017804,Arkansas,AR
39512223,California,CA
5758736,Colorado,CO
3565287,Connecticut,CT
973764,Delaware,DE
705749,District of Columbia,DC
21477737,Florida,FL
10617423,Georgia,GA
1415872,Hawaii,HI
1787065,Idaho,ID
12671821,Illinois,IL
6732219,Indiana,IN
3155070,Iowa,IA
2913314,Kansas,KS
4467673,Kentucky,KY
4648794,Louisiana,LA
1344212,Maine,ME
6045680,Maryland,MD
6892503,Massachusetts,MA
9986857,Michigan,MI
5639632,Minnesota,MN
2976149,Mississippi,MS
6137428,Missouri,MO
1068778,Montana,MT
1934408,Nebraska,NE
3080156,Nevada,NV
1359711,New Hampshire,NH
8882190,New Jersey,NJ
2096829,New Mexico,NM
19453561,New York,NY
10488084,North Carolina,NC
762062,North Dakota,ND
11689100,Ohio,OH
3956971,Oklahoma,OK
4217737,Oregon,OR
12801989,Pennsylvania,PA
1059361,Rhode Island,RI
5148714,South Carolina,SC
884659,South Dakota,SD
6829174,Tennessee,TN
28995881,Texas,TX
3205958,Utah,UT
623989,Vermont,VT
8535519,Virginia,VA
7614893,Washington,WA
1792147,West Virginia,WV
5822434,Wisconsin,WI
578759,Wyoming,WY
